Date,Close,lag_O,lag_H,lag_L,lag_C,lag_A,Year,Month,Day,Weekday
2010-07-02,0.0005543109825007181,0.0004645949978201555,0.0013498214523673877,0.00042174326766429744,0.0013189337637858284,0.0013189337637858284,0.0,0.5454545454545454,0.03333333333333333,1.0
2010-07-06,5.054085983112813e-05,0.0015675984503486931,0.0022238985757513765,0.001370669326651385,0.0013091518196563217,0.0013091518196563217,0.0,0.5454545454545454,0.16666666666666669,0.25
2010-07-07,0.0,0.0014392681144479004,0.0014981881174893396,0.0008714946810383854,0.0010042804124580215,0.0010042804124580215,0.0,0.5454545454545454,0.2,0.5
2010-07-08,0.00027063460274502626,0.0011143754511167914,0.00104340956364513,0.0006144938733960497,0.0005543109825007181,0.0005543109825007181,0.0,0.5454545454545454,0.23333333333333334,0.75
2010-07-09,0.00026085265861552,0.0006270388928029192,0.0005434748860529961,0.00014003084390250622,5.054085983112813e-05,5.054085983112813e-05,0.0,0.5454545454545454,0.26666666666666666,1.0
2010-07-12,0.00020379213302207594,4.2235022826271965e-05,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.3666666666666667,0.0
2010-07-13,0.00038149582105075725,0.0,0.00014352859540020437,9.719819968265382e-05,0.00027063460274502626,0.00027063460274502626,0.0,0.5454545454545454,0.4,0.25
2010-07-14,0.0006586525350441327,0.0002339215479906587,0.0002048100055307119,0.00025864660127589145,0.00026085265861552,0.00026085265861552,0.0,0.5454545454545454,0.43333333333333335,0.5
2010-07-15,0.000666803339990044,0.0002940272024103,0.00023222734664385142,0.00033278144963425765,0.00020379213302207594,0.00020379213302207594,0.0,0.5454545454545454,0.4666666666666667,0.75
2010-07-16,0.0007890776416088763,0.00020305608706984966,0.0003241506713570429,0.00031630868632902915,0.00038149582105075725,0.00038149582105075725,0.0,0.5454545454545454,0.5,1.0
2010-07-19,0.0009961296075121102,0.00029240193498832317,0.0005676652346617303,0.00045798779502670244,0.0006586525350441327,0.0006586525350441327,0.0,0.5454545454545454,0.6,0.0
2010-07-20,0.0007336458097129948,0.0006172921616366418,0.0007853783721403413,0.0006622713120014046,0.000666803339990044,0.000666803339990044,0.0,0.5454545454545454,0.6333333333333333,0.25
2010-07-21,0.0007206040327023305,0.0007407515686370862,0.0007531253803403151,0.0008352526248375926,0.0007890776416088763,0.0007890776416088763,0.0,0.5454545454545454,0.6666666666666666,0.5
2010-07-22,0.0008477693063859157,0.000849590878888115,0.0009063301151840141,0.0009785799983304342,0.0009961296075121102,0.0009961296075121102,0.0,0.5454545454545454,0.7,0.75
2010-07-23,0.0008950478878498539,0.0009275647282183342,0.0008418241315839622,0.0008352526248375926,0.0007336458097129948,0.0007336458097129948,0.0,0.5454545454545454,0.7333333333333333,1.0
2010-07-26,0.0008396185014400048,0.0007342529356319707,0.0006886169777054027,0.0007446425420123853,0.0007206040327023305,0.0007206040327023305,0.0,0.5454545454545454,0.8333333333333334,0.0
2010-07-27,0.0007744047254146166,0.0007082632769770921,0.000745062737149024,0.0008879699155052269,0.0008477693063859157,0.0008477693063859157,0.0,0.5454545454545454,0.8666666666666667,0.25
