date,meantemp,humidity,wind_speed,meanpressure
2013/1/1,10,84.5,0,1015.666667
2013/1/2,7.4,92,2.98,1017.8
2013/1/3,7.166666667,87,4.633333333,1018.666667
2013/1/4,8.666666667,71.33333333,1.233333333,1017.166667
2013/1/5,6,86.83333333,3.7,1016.5
2013/1/6,7,82.8,1.48,1018
2013/1/7,7,78.6,6.3,1020
2013/1/8,8.857142857,63.71428571,7.142857143,1018.714286
2013/1/9,14,51.25,12.5,1017
2013/1/10,11,62,7.4,1015.666667
2013/1/11,15.71428571,51.28571429,10.57142857,1016.142857
2013/1/12,14,74,13.22857143,1015.571429
2013/1/13,15.83333333,75.16666667,4.633333333,1013.333333
2013/1/14,12.83333333,88.16666667,0.616666667,1015.166667
2013/1/15,14.71428571,71.85714286,0.528571429,1015.857143
2013/1/16,13.83333333,86.66666667,0,1016.666667
2013/1/17,16.5,80.83333333,5.25,1015.833333
2013/1/18,13.83333333,92.16666667,8.95,1014.5
2013/1/19,12.5,76.66666667,5.883333333,1021.666667
2013/1/20,11.28571429,75.28571429,8.471428571,1020.285714
2013/1/21,11.2,77,2.22,1021
2013/1/22,9.5,79.66666667,3.083333333,1021.8
2013/1/23,14,60.16666667,4.016666667,1020.5
2013/1/24,13.83333333,60.66666667,6.166666667,1020.5
2013/1/25,12.25,67,5.55,1020.75
2013/1/26,12.66666667,64.16666667,6.8,1019.666667
2013/1/27,12.85714286,65.57142857,5.557142857,1018.142857
2013/1/28,14.83333333,56,3.7,1017.833333
2013/1/29,14.125,65.5,3.2375,1016.625
2013/1/30,14.71428571,70.42857143,1.057142857,1017.857143
2013/1/31,16.2,65.6,2.96,1018.4
2013/2/1,16,73,2.22,1016
2013/2/2,16.28571429,77.57142857,1.328571429,1017.142857
2013/2/3,18,65.57142857,1.857142857,1015.285714
2013/2/4,17.42857143,74.28571429,11.11428571,1014.571429
2013/2/5,16.625,92.375,9.725,1016.375
2013/2/6,16.66666667,71.33333333,8.633333333,1018.666667
2013/2/7,15.6,59.4,10.74,1018.6
2013/2/8,14,70.42857143,9.257142857,1017.142857
2013/2/9,15.42857143,61.28571429,9.257142857,1016.857143
2013/2/10,15.25,71.5,3.475,1017.125
2013/2/11,15.875,70.5,5.325,1016.5
2013/2/12,15.33333333,70.33333333,7.416666667,1017.5
2013/2/13,16.28571429,70.14285714,6.085714286,1016
2013/2/14,17.33333333,63.83333333,4.333333333,1014.166667
2013/2/15,19.16666667,65.33333333,10.18333333,1011.666667
2013/2/16,14.42857143,92.71428571,8.485714286,1008
2013/2/17,13.66666667,90,0,1012.666667
2013/2/18,15.6,78.4,12.22,1016.2
2013/2/19,15.85714286,82,5.814285714,1015.714286
2013/2/20,17.71428571,74.71428571,5.814285714,1017
2013/2/21,20,67.28571429,6.614285714,1015.428571
2013/2/22,20.5,65.625,10.875,1016
2013/2/23,17.42857143,74.85714286,9.257142857,1017
2013/2/24,16.85714286,78.85714286,7.4,1018.857143
2013/2/25,16.875,72.875,4.6375,1018.25
2013/2/26,17.85714286,70,17.5875,1015.142857
2013/2/27,20.8,57.2,6.66,1015.2
2013/2/28,19.42857143,52.85714286,12.95714286,1017.428571
2013/3/1,17.33333333,49.33333333,24.06666667,1016.333333
2013/3/2,19,54,15.725,1016.25
2013/3/3,19.33333333,62.83333333,8.633333333,1016.166667
2013/3/4,17.6,71,5.56,1015.8
2013/3/5,20.875,61.875,4.1625,1016.375
2013/3/6,20.85714286,65.28571429,6.871428571,1015.714286
2013/3/7,23.42857143,57.14285714,8.728571429,1015.285714
2013/3/8,24.16666667,44.83333333,7.1,1014.833333
2013/3/9,25.42857143,49.71428571,5.285714286,1009.285714
2013/3/10,23.14285714,57.57142857,4.228571429,1008
2013/3/11,24,66.33333333,0.933333333,1011.166667
2013/3/12,23.5,62.5,4.933333333,1011.5
2013/3/13,21.5,70.5,5.55,1009
2013/3/14,22.33333333,61.16666667,12.03333333,1013.166667
2013/3/15,24.16666667,45.83333333,7.716666667,1016.166667
2013/3/16,20.33333333,67.66666667,3.7,1016.166667
2013/3/17,22.66666667,58.66666667,8.95,1015
2013/3/18,23.42857143,58.14285714,17.45714286,1009.428571
2013/3/19,22.5,73.66666667,10.48333333,1011
2013/3/20,29.16666667,36.33333333,6.8,1009.5
2013/3/21,23.83333333,58.5,10.5,1008.333333
2013/3/22,25.25,50.25,9.7125,1006.375
2013/3/23,27.375,50.125,9.95,1007.625
2013/3/24,27,48.75,10.8875,1010.25
2013/3/25,23.5,45.5,15.9625,1010.625
2013/3/26,24.14285714,44.57142857,12.95714286,1008.857143
2013/3/27,21,62,1.85,1009
2013/3/28,22.42857143,62.71428571,7.414285714,1009.571429
2013/3/29,21.25,70.375,5.55,1009.75
2013/3/30,23.5,54.75,11.1125,1008.625
2013/3/31,23.2,58,6.66,1008.6
2013/4/1,25.375,45.5,4.4,1008.5
2013/4/2,25.16666667,51,8.65,1009.5
2013/4/3,26.2,45.6,8.14,1009
2013/4/4,24.6,41.8,11.12,1007.8
2013/4/5,25.6,31,15.56,1007
2013/4/6,25.85714286,29.85714286,11.9,1006.142857
2013/4/7,29.14285714,23.28571429,10.31428571,1005
2013/4/8,28.71428571,33.85714286,5.3,1006
2013/4/9,30.16666667,30.5,8.65,1005.333333
2013/4/10,30,28,6.1,1006.714286
2013/4/11,30,24.2,7.78,1006.4
2013/4/12,28.85714286,32.57142857,6.342857143,1007.571429
2013/4/13,30.2,29.2,10,1008.4
2013/4/14,28.25,39.375,6.4875,1007
2013/4/15,28.25,41.375,6.25,1003.875
2013/4/16,32.125,24.625,10.425,1000
2013/4/17,29.2,24.2,6.66,1002.2
2013/4/18,30.28571429,30.28571429,4.757142857,1002.857143
2013/4/19,28.28571429,31.28571429,3.971428571,1002.571429
2013/4/20,30.625,29,7.6375,1003.375
2013/4/21,27.66666667,38.66666667,13.88333333,1006.833333
2013/4/22,27.375,45.375,7.65,1010
2013/4/23,28.625,44.125,4.625,1009.875
2013/4/24,30.28571429,41.71428571,2.114285714,1008.571429
2013/4/25,31.14285714,38.28571429,3.7,1007.714286
2013/4/26,29.875,45.875,6.7125,1008.375
2013/4/27,31.14285714,31.42857143,13.48571429,1007
2013/4/28,30.57142857,28,12.97142857,1005.428571
2013/4/29,32.125,26.375,7.875,1004.875
2013/4/30,31.14285714,32,7.928571429,1004.857143
2013/5/1,31.85714286,15.85714286,12.68571429,1002.833333
2013/5/2,29.83333333,22.16666667,11.43333333,1001.2
2013/5/3,28.57142857,31.57142857,9,999.4285714
2013/5/4,32.85714286,31.42857143,2.914285714,999
2013/5/5,32.625,31.125,3.0125,1000.625
2013/5/6,32.75,39.25,3.7,1001.625
2013/5/7,32.875,33.25,7.175,1002
2013/5/8,34.5,23,9.25,1001.166667
2013/5/9,34.28571429,26,8.985714286,1000.857143
2013/5/10,34,27.71428571,9.528571429,1000.142857
2013/5/11,30.75,30.375,14.8125,999.875
2013/5/12,29.85714286,40.14285714,5.828571429,1003.714286
2013/5/13,31.71428571,34,3.971428571,1003.571429
2013/5/14,32.28571429,34.28571429,4.771428571,1001.571429
2013/5/15,33,33,3.2375,999.8571429
2013/5/16,33,34.75,7.175,998.5
2013/5/17,32.83333333,28.16666667,9.866666667,1000.333333
2013/5/18,31.4,42.2,12.96666667,999
2013/5/19,35.33333333,22.33333333,15.75,999.6666667
2013/5/20,36.4,24.2,7.4,998.4
2013/5/21,36,19,11.37142857,998.6666667
2013/5/22,36.75,22.125,17.5875,998.625
2013/5/23,37.5,23.33333333,13.56666667,997.1666667
2013/5/24,38.42857143,27.42857143,11.38571429,996.4285714
2013/5/25,38.71428571,22.42857143,10.31428571,998.1428571
2013/5/26,37.8,21.2,10.74,998.2
2013/5/27,35.85714286,31.57142857,8.728571429,999.1428571
2013/5/28,35.33333333,29,8.333333333,1000.166667
2013/5/29,34.14285714,27.85714286,5.557142857,999.4285714
2013/5/30,32.2,28.2,5.56,999.6
2013/5/31,33.625,40.125,10.6375,998.7142857
2013/6/1,32,54,13.4375,998.75
2013/6/2,32.4,56.6,14.2,1001
2013/6/3,35.6,47,12.24,999.6
2013/6/4,35.85714286,42.57142857,5.028571429,999.8571429
2013/6/5,37.16666667,36.5,9.866666667,998
2013/6/6,31.28571429,61.71428571,10.04285714,997.2857143
2013/6/7,34,49.25,7.4125,998
2013/6/8,34.2,57.4,13.34,997
2013/6/9,36.16666667,40,11.41666667,995.1666667
2013/6/10,36.625,42.75,8.1,995.125
2013/6/11,30.16666667,61.66666667,16.35,1000
2013/6/12,34.14285714,54.14285714,7.414285714,998
2013/6/13,29.83333333,68.66666667,9.866666667,998.6666667
2013/6/14,30.14285714,68.14285714,7.942857143,997.4285714
2013/6/15,30.71428571,65,13.22857143,997.8571429
2013/6/16,27,88.85714286,8.485714286,996.4285714
2013/6/17,26.875,87.375,8.3375,994.75
2013/6/18,28.4,83.6,5.18,996.4
2013/6/19,29.85714286,72.85714286,4.228571429,999
2013/6/20,33,52.71428571,4.771428571,997.1666667
2013/6/21,34.83333333,47.33333333,5.866666667,995.3333333
2013/6/22,35.6,39.4,10.74,996.2
2013/6/23,35.16666667,53,8.35,995.6666667
2013/6/24,33.14285714,55,13.22857143,996.2857143
2013/6/25,30.57142857,70.42857143,11.11428571,999.1666667
2013/6/26,30.66666667,71.5,6.483333333,999
2013/6/27,31.42857143,61.85714286,7.957142857,996.7142857
2013/6/28,31.5,64.25,8.8125,996
2013/6/29,33.25,57,13.875,995.25
2013/6/30,32.83333333,52.16666667,10.5,997.1666667
2013/7/1,33.85714286,54,8.728571429,996.4285714
2013/7/2,33.14285714,58.28571429,9.8,996
2013/7/3,31.57142857,70,6.357142857,997.5714286
2013/7/4,32.375,67.5,9.25,997
2013/7/5,32.8,62.2,12.96,997.8
2013/7/6,31,73.14285714,11.37142857,1000.571429
2013/7/7,31.16666667,77.33333333,7.1,1000.166667
2013/7/8,29.83333333,75.16666667,6.483333333,997.5
2013/7/9,29,78.83333333,8.016666667,996.8333333
